Time (seconds),RTT (ms)
1,35.6
2,44.8
3,58.6
4,60.8
5,40.6
6,41.5
7,38.6
8,37.0
9,43.8
10,31.0
11,40.8
12,42.1
13,36.2
14,34.0
15,37.1
16,31.3
17,34.1
18,32.6
19,29.8
20,36.6
21,32.3
22,34.7
23,30.9
24,38.3
25,35.1
26,36.8
27,32.4
28,33.6
29,38.5
30,33.5
31,35.6
32,41.9
33,43.3
34,39.3
35,41.9
36,36.6
37,37.6
38,44.1
39,35.0
40,36.6
41,33.6
42,35.6
43,37.9
44,32.4
45,44.4
46,32.7
47,34.8
48,38.3
49,32.9
50,43.3
51,31.9
52,38.4
53,31.5
54,42.6
55,230.0
56,37.9
57,55.5
58,40.6
59,41.8
60,43.4
61,38.5
62,40.0
63,32.7
64,36.7
65,52.7
66,42.0
67,49.8
68,38.5
69,40.5
70,41.2
71,48.0
72,40.5
73,41.0
74,42.3
75,31.9
76,39.3
77,34.5
78,51.5
79,52.7
80,35.6
81,48.8
82,37.6
83,34.4
84,33.6
85,36.6
86,35.5
87,41.0
88,38.0
89,44.5
90,44.4
91,36.5
92,36.1
93,37.1
94,38.6
95,33.5
96,45.2
97,35.3
98,30.3
99,32.5
100,48.4
101,35.7
102,31.5
103,34.9
104,36.7
105,32.0
106,38.4
107,33.7
108,29.6
109,36.5
110,42.7
111,37.7
112,28.7
113,30.8
114,30.8
115,30.6
116,40.2
117,34.9
118,33.6
119,31.8
120,32.6
121,27.1
122,30.4
123,31.8
124,30.3
125,31.9
126,56.6
127,60.1
128,59.3
129,56.5
130,57.6
131,57.5
132,65.5
133,62.3
134,77.5
135,74.0
136,58.7
137,65.1
138,52.5
139,55.7
140,47.2
141,55.6
142,55.1
143,55.0
144,159.0
145,499.0
146,56.1
147,63.7
148,69.2
149,49.1
150,515.0
151,38.0
152,43.3
153,28.8
154,35.3
155,31.1
156,29.2
157,40.8
158,31.5
159,40.3
160,39.8
161,36.8
162,35.0
163,34.3
164,27.2
165,30.4
166,37.2
167,39.2
168,31.0
169,28.5
170,35.8
171,36.2
172,33.2
173,37.4
174,34.4
175,34.6
176,41.7
177,42.5
178,52.5
179,34.2
180,50.7
181,38.0
182,36.9
183,51.4
184,33.8
185,33.9
186,37.7
187,27.2
188,30.2
189,44.0
190,32.5
191,31.8
192,36.1
193,30.3
194,53.3
195,31.8
196,38.6
197,31.6
198,30.4
199,32.6
200,29.5
201,56.7
202,33.5
203,36.3
204,31.0
205,41.1
206,39.5
207,33.5
208,48.0
209,38.6
210,44.2
211,37.8
212,36.7
213,35.7
214,30.6
215,32.2
216,30.6
217,32.4
218,30.6
219,44.0
220,39.2
221,62.3
222,78.6
223,68.5
224,58.1
225,64.4
226,503.0
227,48.5
228,49.2
229,66.7
230,67.4
231,62.7
232,89.5
233,79.6
234,70.0
235,61.9
236,55.2
237,66.3
238,52.5
239,58.6
240,57.8
241,56.6
242,66.5
243,61.1
244,55.1
245,53.6
246,54.3
247,53.2
248,59.4
249,58.1
250,56.6
251,55.5
252,54.8
253,66.3
254,53.6
255,71.4
256,261.0
257,43.8
258,31.5
259,50.8
260,39.1
261,47.5
262,45.7
263,92.6
264,29.1
265,33.2
266,31.6
267,51.3
268,27.7
269,36.3
270,29.5
271,39.5
272,58.5
273,36.4
274,33.7
275,48.5
276,41.7
277,33.4
278,127.0
279,44.6
280,42.3
281,47.9
282,60.4
283,39.6
284,29.5
285,36.5
286,31.5
287,31.4
288,37.5
289,38.5
290,43.8
291,29.1
292,40.8
293,81.5
294,34.6
295,33.8
296,38.4
297,29.7
298,32.9
299,44.8
300,32.5
301,37.3
302,31.5
303,35.0
304,38.6
305,43.7
306,45.7
307,45.5
308,55.3
309,32.0
310,26.5
311,45.3
312,35.5
313,33.6
314,39.7
315,31.2
316,33.6
317,31.2
318,33.8
319,35.2
320,29.7
321,36.9
322,39.7
323,43.5
324,38.4
325,33.6
326,37.4
327,36.5
328,41.0
329,39.0
330,51.5
331,35.2
332,611.0
333,34.8
334,35.7
335,37.5
336,48.0
337,47.2
338,44.3
339,50.9
340,41.1
341,48.9
342,54.6
