Time (seconds),RTT (ms)
1,49.4
2,44.8
3,41.6
4,47.7
5,42.5
6,48.6
7,69.6
8,66.0
9,88.4
10,63.0
11,80.2
12,75.4
13,60.8
14,72.5
15,67.6
16,78.8
17,77.2
18,60.3
19,67.5
20,72.8
21,74.2
22,37.1
23,1026.0
24,60.6
25,39.8
26,34.8
27,45.8
28,37.3
29,39.6
30,36.3
31,40.9
32,49.9
33,35.3
34,35.0
35,36.3
36,43.0
37,38.8
38,40.4
39,35.3
40,36.8
41,43.6
42,33.5
43,35.4
44,40.8
45,44.6
46,38.8
47,43.4
48,71.5
49,62.3
50,41.1
51,45.2
52,50.2
53,50.9
54,69.4
55,36.7
56,37.5
57,102.0
58,47.0
59,39.0
60,44.1
61,50.4
62,34.6
63,45.4
64,36.7
65,39.5
66,32.2
67,40.4
68,29.3
69,35.4
70,26.5
71,38.0
72,29.9
73,34.8
74,42.7
75,39.5
76,33.4
77,27.5
78,27.6
79,35.0
80,31.1
81,28.6
82,31.6
83,30.2
84,36.4
85,40.3
86,35.9
87,35.6
88,28.2
89,26.8
90,33.5
91,49.5
92,36.3
93,34.7
94,38.3
95,44.2
96,38.1
97,34.9
98,40.0
99,36.9
100,34.1
101,33.4
102,44.8
103,31.0
104,32.7
105,42.4
106,31.7
107,29.4
108,34.2
109,37.5
110,34.8
111,32.5
112,36.2
113,29.0
114,37.4
115,52.1
116,42.2
117,40.7
118,37.9
119,29.6
120,34.6
121,29.7
122,31.6
123,26.1
124,33.1
125,26.9
126,32.0
127,32.6
128,35.9
129,33.9
130,37.9
131,40.4
132,35.7
133,30.9
134,31.6
135,46.7
136,57.3
137,35.8
138,32.8
139,34.0
140,34.4
141,32.8
142,28.2
143,29.7
144,35.8
145,39.0
146,33.9
147,41.7
148,30.9
149,26.9
150,40.4
151,79.1
152,54.6
153,50.1
154,56.1
155,58.1
156,54.0
157,61.4
158,51.8
159,54.0
160,66.2
161,52.7
162,59.0
163,50.6
164,67.7
165,73.5
166,32.2
167,49.6
168,29.7
169,30.3
170,33.0
171,33.5
172,52.0
173,42.7
174,34.3
175,35.6
176,30.1
177,37.7
178,32.8
179,45.8
180,31.5
181,40.5
182,28.1
183,32.2
184,32.3
185,42.0
186,35.4
187,38.3
188,36.3
189,28.1
190,38.2
191,36.2
192,29.0
193,32.3
194,30.7
195,77.4
196,46.7
197,93.6
198,47.0
199,53.6
200,58.1
201,51.5
202,31.4
203,59.5
204,60.3
205,44.4
206,45.3
207,42.2
208,53.5
209,48.4
210,38.7
211,43.9
212,48.7
213,43.6
214,47.7
215,42.3
216,46.6
217,46.3
218,45.2
219,44.4
220,47.7
221,51.1
