Date,Time,Throughput (Mbps)
20240412,22:30:11,2.584794293195729
20240413,18:59:54,2.5980128898327988
20240413,18:38:05,2.6001505177784887
20240412,22:55:59,2.5564656588679417
20240413,16:59:09,2.6318343029224387
20240412,19:08:21,2.6667348314943533
20240412,20:51:13,2.5892603422674547
20240413,19:46:42,2.5925331435018575
20240412,19:04:08,2.5718320155222107
20240413,18:17:05,2.628634691987981
20240412,20:11:11,2.5585897210557147
20240412,20:46:56,2.020816891855988
20240413,18:25:23,2.6623770431953058
20240413,17:36:46,2.549964237833324
20240413,19:08:27,2.5837636496247303
20240413,16:33:13,2.552222421739163
20240412,22:21:46,2.54437197771624
20240413,16:40:08,2.62627418232751
20240412,21:37:11,2.583718176527005
20240413,17:16:11,2.551149801300999
20240413,18:33:54,2.5826775083313525
20240412,18:55:30,2.6678074880773512
20240413,17:24:32,2.5707528530062267
20240412,22:13:24,1.8654623768250727
20240413,18:42:38,2.365737031307397
20240412,22:17:31,0.29361548191078873
20240412,20:55:23,2.478968428762862
20240412,20:06:36,2.5783722583007136
20240413,17:03:16,2.5595994628654113
20240413,19:04:17,2.581717875046869
20240413,19:17:32,2.5707510042910044
20240413,17:40:46,2.588167217798366
20240412,22:09:15,2.513935774216877
20240413,18:12:56,2.542335457030951
20240413,18:51:20,2.612067222447047
20240413,17:32:40,2.4572362520706648
20240413,16:35:28,2.308812123427366
20240412,22:38:29,2.345539230417753
20240413,17:12:05,0.878510636106541
20240413,17:20:11,2.4911700943856916
20240413,17:07:28,2.5685561367815892
20240412,22:08:54,2.5587113306445803
20240413,18:08:48,2.643758657367284
20240412,23:02:33,2.434314501835646
20240412,20:42:42,2.0479244364661957
20240412,21:41:22,2.6088591491230617
20240413,16:51:13,2.5051979561093316
20240412,20:19:05,2.5794480440508405
20240413,18:55:27,2.6056460737684244
20240412,22:04:48,2.6106464743482705
20240412,21:29:00,2.645847233464874
20240412,20:34:23,2.5815827508355573
20240413,17:44:47,2.641601763166858
20240412,22:34:24,2.2194895902544247
20240413,19:30:12,2.582732909486822
20240412,22:25:59,2.5793220116946736
20240413,18:04:36,2.6481381187416986
20240412,19:36:55,2.207509805159655
20240413,17:28:37,2.5695902309062117
20240413,18:29:38,2.5618891925744025
20240412,20:15:10,2.57160800486442
20240413,17:52:06,2.6514247039853105
20240412,20:02:13,2.5772928724813533
20240413,19:50:55,2.6416621700764065
20240413,19:34:19,2.5848231449738956
20240412,20:23:06,2.5979495079712778
20240412,21:33:06,2.6152611293698054
20240413,17:56:12,2.574066151079027
20240412,23:00:58,2.576150914904096
20240413,19:26:09,2.5685788132673126
20240412,20:38:34,2.48998642171684
20240412,18:59:36,2.594575292562755
20240413,19:12:48,2.668937801490604
20240413,18:00:22,2.5882187543072916
20240413,18:47:13,2.5683386133752504
20240413,19:42:39,2.6296875062209617
20240413,18:21:10,2.649273110997787
20240412,20:30:04,2.5956520119629305
20240413,19:21:54,2.08741148999297
20240413,19:38:31,2.7092756475112374
