Date,Time,Throughput (Mbps)
20240412,20:43:28,29.993180621759944
20240412,22:26:50,38.031845136616084
20240413,18:01:12,46.08940446483422
20240413,19:18:18,44.73660181914624
20240413,17:25:20,35.83850414527032
20240413,19:43:23,16.333130428885113
20240413,19:26:54,14.721826468305016
20240412,20:39:19,38.12578124093023
20240412,20:47:43,6.558836952903231
20240412,21:29:46,37.921295051738454
20240412,22:35:09,36.35767872146416
20240412,21:33:53,23.372820500821792
20240413,18:17:53,61.100952837358676
20240413,18:13:40,2.6979161422663416
20240413,18:05:21,45.546411217429295
20240412,22:18:25,1.6437644307273962
20240413,17:41:31,65.11316000222016
20240412,20:52:02,20.735567060473333
20240412,19:00:30,23.31796889624628
20240412,20:02:59,21.446199829416656
20240413,17:37:31,39.75632228581614
20240413,18:56:21,34.05039658283706
20240412,20:30:50,50.05455849992521
20240413,17:08:12,21.835711504901475
20240413,19:00:40,6.375768556179078
20240412,22:30:55,6.180018721264834
20240413,18:43:37,20.78162787130061
20240413,18:30:21,63.226997563111404
20240412,20:07:24,10.277190162823121
20240413,18:26:14,32.808098559235695
20240413,19:05:01,45.09616970765203
20240413,19:39:17,4.9091180642561145
20240413,19:22:43,41.779754403188896
20240413,17:56:59,40.68164969536848
20240413,18:38:57,57.23461932698242
20240412,19:05:00,9.99581298286862
20240413,16:52:07,28.973769517104632
20240413,19:09:13,14.329348175811026
20240413,17:33:23,15.395023676485604
20240413,18:21:58,45.823399192662485
20240412,22:14:10,16.546483645916126
20240413,17:04:00,44.012569174344904
20240412,19:09:25,9.007631770165517
20240412,22:10:04,60.39807291854843
20240413,18:52:11,93.05333453863449
20240413,17:12:53,16.34494953593514
20240413,17:52:54,107.27839605075422
20240413,17:16:55,23.427501645779135
20240413,19:35:05,0.9128096138454862
20240412,21:37:57,72.2710118519578
20240413,19:13:33,47.660322771417476
20240413,17:20:58,18.978247416802414
20240412,20:23:55,24.73604386467327
20240412,22:39:18,46.14354727707008
20240412,20:15:57,33.87955846095623
20240412,21:42:08,37.127438774949184
20240412,22:22:31,63.80626366191286
20240413,18:47:56,42.167379211341796
20240412,20:19:51,51.07995154437482
20240413,17:45:35,41.57057072788399
20240412,21:11:15,14.327167143349852
20240413,18:09:33,77.07350247942031
20240413,18:34:42,53.383943979219836
20240412,20:11:57,5.0772208411508855
20240412,19:37:44,3.5690084990960833
20240413,19:47:30,3.8702110413971234
20240412,22:05:34,7.456585409769555
20240413,17:29:26,28.97621249814331
20240413,19:30:58,46.46636468503015
20240413,19:51:40,14.161733419064124
20240412,20:35:11,51.6825363371961
20240413,16:59:53,31.90913493333945
20240412,18:56:17,39.80321356171015
