Date,Time,Throughput (Mbps)
20240412,21:33:51,2.6499378756892096
20240413,19:35:03,2.085105671619588
20240412,20:52:00,2.6458174850487324
20240413,17:08:10,2.6963155308889495
20240413,19:51:38,2.654730843473674
20240413,19:22:42,2.4866061014542677
20240413,17:25:18,2.6830997991955434
20240412,21:29:45,2.634007015593499
20240413,18:21:57,2.6198256544331557
20240412,20:11:56,2.712470713757524
20240412,22:30:54,2.645454982025144
20240412,20:15:56,2.6575362913753358
20240412,22:18:23,2.5552429439020603
20240413,19:04:59,2.489930681124656
20240413,17:33:21,2.5968790383375127
20240413,17:41:30,2.5959014325795304
20240413,18:34:41,2.6340201008024966
20240412,19:09:23,2.6894814412297707
20240412,22:10:02,2.682000068763914
20240413,18:43:35,2.6624034031433808
20240413,18:17:52,2.5740442852208214
20240412,20:43:27,2.552624209494901
20240412,22:14:09,2.1470840367759516
20240412,21:11:13,2.706099824930243
20240412,20:39:17,2.6270839222043243
20240412,20:07:23,2.6624815030568363
20240412,20:30:48,2.7003814011611
20240413,17:56:58,2.673187193932022
20240412,21:37:55,2.5914980431080186
20240413,19:43:22,2.4365360469703052
20240413,18:05:19,2.687118068282932
20240413,18:13:38,2.579478458176841
20240413,17:16:53,2.4824388270970283
20240413,17:20:56,2.496644134763616
20240412,19:37:43,2.612229163154073
20240413,19:39:15,2.692917278908525
20240413,17:29:25,2.5434938952921264
20240413,17:52:53,2.7005745476285887
20240413,18:09:32,2.696205029047736
20240412,22:05:32,2.699473281938026
20240413,17:03:58,2.65366995821968
20240412,20:23:53,2.6307292432270497
20240413,19:30:56,2.6634930518858364
20240413,16:59:51,2.4626693904766337
20240413,17:12:52,2.229124113377473
20240413,18:01:10,2.7005829914582877
20240413,19:26:53,2.5062580900968823
20240412,19:00:29,2.5772597252120084
20240412,20:47:41,2.5553933034634744
20240413,19:09:11,2.5554596312721976
20240412,20:02:57,2.601310349948371
20240413,19:13:32,2.653074295828901
20240412,21:42:06,2.6503838611048867
20240412,19:04:59,2.6023401326454194
20240412,22:22:30,2.48670850820871
20240413,16:52:06,2.5913033945227344
20240413,19:00:39,2.6250613941809022
20240413,18:30:20,2.5925610474116194
20240413,18:56:19,2.676584530979533
20240413,18:52:10,2.6492406315951684
20240412,20:35:09,2.7025420963372633
20240413,19:47:29,2.7170072291140026
20240413,18:47:55,2.5489142510320297
20240412,20:19:50,2.5706748200370124
20240413,18:38:55,2.69619324809352
20240413,18:26:12,2.6197853920720573
20240413,17:45:33,2.5554442503157233
20240413,19:18:17,2.5893136132650048
20240412,18:56:15,2.680936347487359
20240413,17:37:29,2.5347416784626655
20240412,22:35:08,2.6459791245589437
20240412,22:26:49,2.4768720697387447
