Time (seconds),RTT (ms)
1,79.2
2,80.3
3,81.2
4,77.1
5,78.5
6,154.0
7,45.6
8,41.7
9,42.3
10,48.1
11,44.5
12,41.0
13,52.5
14,47.8
15,48.7
16,45.0
17,45.5
18,42.5
19,41.7
20,113.0
21,49.1
22,42.9
23,44.3
24,56.1
25,42.1
26,39.2
27,34.2
28,38.2
29,42.3
30,44.2
31,40.0
32,40.3
33,42.6
34,42.1
35,39.5
36,40.2
37,35.0
38,41.8
39,31.6
40,37.2
41,33.0
42,33.9
43,29.9
44,37.2
45,40.0
46,44.3
47,37.0
48,42.1
49,55.9
50,34.7
51,28.9
52,72.9
53,74.8
54,70.6
55,71.8
56,77.7
57,62.2
58,69.8
59,66.7
