Date,Time,Throughput (Mbps)
20240412,19:06:12,3.301718301301666
20240413,17:42:42,4.011013035008288
20240413,18:49:11,3.353511829410747
20240413,18:40:12,1.8977317206985105
20240413,17:58:16,2.1305773184058214
20240413,19:52:52,2.397852397414554
20240413,17:30:37,0.6602674907624793
20240413,17:01:08,4.240508390862508
20240413,17:09:23,2.848635494941999
20240412,22:28:05,3.4186006239984863
20240413,18:06:32,2.9889878531430076
20240412,22:36:22,3.2499794994940885
20240412,20:40:37,2.766313622755591
20240413,17:14:05,1.8107741983489487
20240412,22:23:45,4.205493458804173
20240413,18:23:16,2.363463449573142
20240412,22:40:30,0.32318469632387337
20240413,18:14:59,3.1161907465289618
20240413,18:10:45,2.182635831065963
20240413,17:54:07,3.641179286736851
20240412,22:32:08,4.529013774717586
20240412,21:39:16,3.403538206182243
20240413,19:14:59,1.3414711109933621
20240412,20:25:10,3.3191351004731637
20240412,20:36:24,2.554416774128036
20240413,17:18:07,2.488372674757581
20240413,19:28:07,1.5398645471951755
20240412,22:15:25,0.39625222988280534
20240413,17:26:31,3.27389297931847
20240412,20:13:07,3.113227014429416
20240412,20:17:13,2.349664649346056
20240413,18:27:29,3.374698564782504
20240412,20:44:47,2.4709935226316766
20240412,20:49:05,0.9558712209194722
20240413,19:48:44,2.6240140916246872
20240412,18:57:31,1.46318397127735
20240413,19:40:33,0.8028303247967714
20240413,19:23:56,4.605394422947737
20240412,19:01:41,4.790909677050214
20240412,21:35:07,2.460469163271651
20240413,18:02:30,2.4640702560547454
20240413,17:38:43,4.0322109480764885
20240413,17:34:36,2.1477490671262136
20240413,19:02:00,3.071961438729781
20240413,17:50:01,4.766022854646209
20240413,19:10:34,2.116343659423464
20240412,21:26:54,2.1163516137875873
20240413,18:45:07,3.6943824655949724
20240413,19:06:12,2.1407754318163352
20240412,22:11:17,3.457162415939481
20240412,20:53:13,3.8790211217132122
20240412,20:04:17,3.618144709750492
20240412,21:31:01,3.5751997415718413
20240412,19:39:07,3.0594975502389614
20240413,19:32:14,2.3946459693528257
20240413,18:31:45,4.575451767039301
20240413,18:35:57,2.7802115198027133
20240413,17:05:13,3.511450385542519
20240412,20:08:53,1.8301364339864292
20240413,19:19:35,3.669931740410944
20240413,19:36:17,4.437960006912221
20240412,20:32:07,2.7279556191853835
20240412,22:06:49,2.453794870675935
20240412,22:19:38,1.838975499183853
20240413,18:57:46,0.3231093522441893
20240413,17:22:21,3.6947051081273563
20240413,18:53:22,1.6406537021845304
20240413,18:19:05,3.6988737386732295
20240413,19:44:37,4.628941681254306
20240412,20:21:02,1.0216223113875875
