Date,Time,Throughput (Mbps)
20240413,19:28:36,4.252388905810261
20240412,22:28:33,15.266481448286887
20240413,19:41:04,32.71857747260768
20240413,18:53:51,16.987522763029407
20240413,18:36:29,18.08103832429665
20240413,17:54:36,32.02310511916811
20240413,17:01:40,8.777439359933245
20240412,22:36:51,21.36722353397207
20240413,18:45:38,28.528184025611985
20240412,22:15:54,40.23345069171181
20240412,19:02:09,37.05659424419044
20240413,19:06:47,2.2005052545975445
20240413,18:32:18,2.801431244841783
20240413,18:49:42,1.629172901643359
20240413,18:19:34,10.870513603843841
20240412,20:04:54,15.941247564847732
20240413,17:22:53,3.178733633842595
20240412,20:49:37,5.576036958291649
20240413,19:11:05,18.03534299042264
20240412,20:25:49,1.1804121425988017
20240413,17:27:00,6.675791865205777
20240413,19:36:46,9.820176223549176
20240413,18:07:06,8.77257687879778
20240413,19:49:20,17.084128116701592
20240413,18:11:18,22.27993975750451
20240412,20:53:44,15.937719992375513
20240412,21:31:29,20.13535355394352
20240412,22:07:18,8.398832702539353
20240412,20:45:20,5.676378037813609
20240412,19:06:44,8.647575184788893
20240413,19:45:06,25.37493421787221
20240412,22:11:47,7.724695281215558
20240413,18:58:18,7.45196720434819
20240412,20:09:33,21.18370744611146
20240412,18:58:00,17.036958391380157
20240413,17:10:26,1.1799704741269799
20240413,18:02:59,17.4138962056674
20240413,19:20:06,1.6267042884787666
20240413,19:02:29,8.698227634156707
20240413,18:28:00,8.773654923775274
20240413,17:18:36,19.424480355759048
20240413,18:15:29,10.741919078643603
20240413,19:24:31,0.4052963258419273
20240413,19:53:21,27.47216452262179
20240413,18:40:51,0.40529994043332446
20240413,17:50:30,23.281726734859028
20240413,17:35:06,5.627381125207777
20240413,17:14:35,6.97790536228569
20240412,20:32:47,2.20216605801562
20240413,17:58:46,24.802673758504024
20240412,20:21:30,38.05914461144258
20240412,21:35:35,26.55094510057054
20240413,17:05:47,4.536750417523939
20240412,20:17:48,1.6266621186236623
20240412,20:41:06,45.30351049270388
20240412,22:24:19,6.497221914962455
20240413,19:32:42,6.827264304979141
20240413,17:43:11,8.644990737773334
20240413,17:31:06,43.37981276506908
20240413,18:23:45,10.870626390585619
20240412,20:36:55,2.2015311034211713
20240412,20:13:35,24.328099336218795
20240412,19:39:35,6.857278996132809
20240413,19:15:51,1.626744719429502
20240412,22:32:46,9.647854094812804
20240412,22:20:08,9.015836580383393
20240413,17:39:11,22.232184552366352
20240412,21:39:45,10.869989080917334
20240412,22:40:58,4.677889177645318
20240412,21:27:23,5.50119885291456
