Date,Time,Throughput (Mbps)
20240412,19:38:53,5.158343689296715
20240413,17:58:00,6.0677216246854835
20240413,17:34:21,9.504528164442036
20240413,17:13:51,6.369998750021686
20240412,22:59:25,6.999092870542941
20240412,20:12:53,11.7678725434451
20240412,19:01:27,3.9616631219785288
20240413,17:04:57,9.401104807860857
20240412,20:52:58,10.672228656260746
20240413,18:53:08,9.316837361280978
20240412,20:16:59,15.80497899939175
20240413,19:01:46,6.088979558217906
20240412,19:05:56,8.445438500596225
20240413,18:44:53,10.97106287341806
20240413,18:31:27,11.826212133562901
20240413,18:35:42,11.32203481762722
20240412,22:15:11,9.789729477541346
20240413,17:53:53,7.08287295310961
20240412,22:31:51,8.542131582701714
20240413,17:17:53,8.274313578436645
20240413,18:10:30,8.056485022237727
20240413,17:42:28,7.53416505989298
20240413,18:48:56,9.40374248234809
20240413,19:05:57,8.774800341602567
20240413,18:18:50,11.513402618359644
20240413,18:23:02,5.2266159673195425
20240413,19:52:38,8.534981517773094
20240413,19:44:23,7.329681963401149
20240412,22:23:31,9.431669162225925
20240413,17:30:22,3.516885609241107
20240412,21:39:01,4.893029853663164
20240412,20:40:23,11.09607055393965
20240412,20:48:50,11.375415634046382
20240412,21:26:40,10.217046714448408
20240413,18:06:17,7.9657661084803
20240413,18:39:54,9.497569983539456
20240413,17:49:46,8.302358121940296
20240412,20:31:50,9.785971476599627
20240413,18:02:14,7.325548597497536
20240413,19:48:30,6.4504042675828135
20240412,20:44:32,7.808308928536254
20240413,17:00:53,13.646662495166447
20240412,18:57:17,3.7600382707205124
20240412,22:40:15,5.2509004718926064
20240413,17:09:08,7.01639795763929
20240413,17:26:16,3.2387626377182968
20240412,20:24:52,9.347908510729114
20240412,21:34:52,10.331761811213322
20240413,19:19:19,8.703077891396866
20240412,22:19:24,6.967718003429922
20240413,18:27:12,12.899653371128958
20240412,21:30:47,9.619104711106008
20240413,19:31:59,7.311797231217628
20240413,18:57:32,1.1710448512184979
20240413,19:27:52,4.479522319088275
20240413,19:23:40,6.060555265522243
20240412,22:36:06,6.280233134436222
20240413,18:14:44,3.301366351754974
20240412,22:06:33,8.458551720240544
20240413,19:14:39,8.903346620669788
20240412,20:36:08,8.976092357032593
20240413,17:22:06,9.793027715263719
20240412,20:04:01,1.4908600131926677
20240413,17:38:27,9.643655449757393
20240413,19:36:01,3.2353595087045774
20240412,22:27:51,6.474257609620829
20240413,19:10:19,7.68555964483272
20240412,20:20:47,12.148085087847443
20240412,20:08:38,5.751230933462
20240412,22:11:02,7.739083583893986
20240413,19:40:19,4.6428940092546895
