Date,Time,Throughput (Mbps)
20240413,19:24:11,3.097553024974774
20240412,18:57:45,3.999977710432966
20240412,21:27:08,5.650653401348951
20240413,18:23:30,3.8100909636357025
20240413,18:36:12,3.541319565646667
20240413,18:40:33,5.570831576652844
20240413,17:05:27,6.140448545681469
20240413,19:10:49,4.6637667887415715
20240412,21:31:15,4.861687192443081
20240413,17:09:40,4.3336917089015605
20240412,20:04:31,0.7854720683964642
20240413,17:34:50,3.0686920193658525
20240412,20:09:08,5.042391121061384
20240412,22:07:03,3.346817030564231
20240412,22:40:43,4.816568327447911
20240413,17:01:23,5.695889354049519
20240412,19:39:21,2.979140953534064
20240412,22:32:25,3.843638987248223
20240412,20:21:16,4.680659889320212
20240413,18:32:00,3.3569782827844983
20240412,19:01:55,1.0622862464497471
20240413,17:14:19,5.411591818848038
20240413,17:26:46,2.2137366945595343
20240413,19:49:00,4.483009942455527
20240412,22:36:37,4.430879643503886
20240412,21:35:21,6.4776621315264755
20240413,19:19:49,4.789494188883991
20240412,20:49:20,6.041995826370011
20240413,18:15:13,4.7616232545147446
20240412,22:11:31,5.390215760317255
20240413,18:49:26,4.990558435646556
20240412,20:40:51,6.083322581162049
20240413,19:15:14,1.2858425175819148
20240413,17:50:15,5.104811693298874
20240412,22:24:00,5.647370404144711
20240413,18:06:47,3.808816919661835
20240413,19:28:21,3.9801702812615036
20240412,20:32:21,3.339785708834572
20240413,17:42:56,2.9473181887518867
20240413,19:36:31,3.97561418072086
20240412,22:15:39,5.071437803114528
20240413,18:58:00,1.9476283537886399
20240413,18:10:59,4.424055699488747
20240413,19:40:48,1.6367736086955866
20240412,22:28:19,0.7367158371548789
20240412,20:17:29,6.738325574224898
20240413,19:53:06,4.059143528143823
20240413,17:58:31,4.942005204426027
20240413,17:30:50,0.6881078368480956
20240413,19:32:27,3.097559154711259
20240413,18:02:44,4.309419632920789
20240413,17:18:21,5.861862343340868
20240413,19:44:50,4.095979164472378
20240412,22:19:52,4.055351903332938
20240412,20:45:03,4.2084386559026115
20240413,18:45:22,5.3345735845811495
20240412,20:53:26,3.614268854924202
20240412,20:13:21,6.432445521811422
20240413,18:53:36,5.546320898048742
20240412,20:25:33,4.340723122168922
20240413,18:19:19,4.132067486584959
20240413,17:54:21,3.7427915202654263
20240413,19:02:14,3.9757267718536324
20240413,19:06:25,5.988071273879602
20240413,18:27:44,2.870532039728465
20240413,17:38:57,4.698375938464101
20240412,19:06:27,4.166784396035773
20240412,20:36:39,2.3319732837051
