Time (seconds),Throughput (Mbits/sec)
0,17.70697764570692
1,10.426632271158839
2,10.424766128865187
3,13.033290338948548
4,13.030788355002771
5,10.946782128140972
6,5.732274614704603
7,7.821233485201743
8,5.2115754803571965
9,7.821718470476718
10,7.82009913435162
11,7.8174806144078275
12,10.426361287962065
13,10.423483892885496
14,13.03378525677443
15,13.556099942760481
16,7.817612919664122
17,10.4264756461254
18,10.425892072848931
19,7.817769455609994
20,7.81875447141679
21,5.212857481445912
22,5.211569890262757
23,5.213676030488608
24,7.82144472620229
25,5.211236369664378
26,7.820591904796822
27,7.820302855000194
28,5.211418962245814
29,5.212586242286283
30,5.212117155271335
31,7.821859314008183
32,7.82004459309594
33,5.212252591594076
34,5.213290031145758
35,7.818191574849608
36,10.426746635266666
37,5.211054410875492
38,10.430283215824652
39,10.424849385711077
40,13.031673765720035
41,10.425402394034784
42,7.816729727160132
43,7.820114984089956
44,10.427758618311966
45,7.818285695950064
46,7.818816916924374
47,5.21326920993966
48,5.731872965212149
49,2.606040250848474
50,5.216060112186455
51,2.6063086553162735
52,2.605717244708077
53,5.73607599335487
54,2.606269820230642
55,2.6060716239802186
56,2.6051183423758766
57,5.21507910041596
58,5.21310761817348
59,2.6054595184061844
60,2.605957006991867
61,5.21565291950955
62,5.212309750319362
63,5.212795028691265
64,7.818996802842257
65,7.8203415491374635
66,5.2116742406697165
67,5.2127272955544495
68,7.820466958069327
69,2.6051704908879487
70,2.606426099657103
71,2.606736228442094
72,2.606660709325686
73,5.214108716047006
74,5.21313372078038
75,5.212215936114794
76,7.81934867617057
77,10.425516731164338
78,13.55413393903098
79,7.81844971437215
80,7.820419870972772
81,7.818168277897402
82,8.339312898933487
83,7.820991015117173
84,7.818332291392888
85,10.428374109461934
86,7.817402351434718
87,10.427268142538939
88,10.426298516340994
89,10.424568554508658
90,10.424161003393897
91,10.423578310357218
92,10.429803075086513
93,13.031922323689916
94,13.552359126751155
95,13.034411533200686
96,13.551273626374726
97,10.42440080857512
98,13.032442772649551
99,10.424015634639957
100,13.033225077864396
101,7.819043406761606
102,7.818433871383396
103,13.03503709268542
104,10.423400657848788
105,13.033498557252699
106,10.424120001539967
107,13.0334729180725
108,13.031008919752741
109,13.03326392366909
110,10.946388048499312
111,13.033225077864396
112,10.945632591042873
113,15.641402939156713
114,10.425402394034784
115,13.032794681844683
116,13.031192211633915
117,13.03185707630503
118,13.03366793376528
119,10.424224370529869
120,13.031947180008396
121,13.032130498285515
122,13.03158366579742
123,13.031439197832295
124,10.427268142538939
125,10.424328741609731
126,7.81841057298716
127,13.034998236310118
128,10.423837967224415
129,15.64151297248692
130,10.423785786336893
131,13.033511765354596
132,10.423119904693394
133,10.425631070801826
134,13.03392899976411
135,7.820545282416645
136,7.8171126057342475
137,13.032365091061164
138,15.637555543725334
139,15.637851931897641
140,18.247190582853623
141,13.031739011269345
142,13.02957693528902
143,15.642044511222505
144,10.423963451973647
145,15.639338702468477
146,16.161134550812942
147,15.636977712298098
148,15.638978868739455
149,10.425276874639104
150,13.031830666834988
151,15.637633833848747
152,18.245292639396524
153,16.164497395626196
154,13.031179784902761
155,13.03120463838877
156,15.639964255954117
157,15.636508022732368
158,15.640746501287445
159,15.634773025380683
160,20.85224278514962
161,15.63843169218764
162,16.159631840544222
163,15.635960087233283
164,18.245529724791368
165,17.20346125878091
166,13.031530849180644
167,7.81749552181847
168,7.8209439217097225
169,5.2111637088288
170,7.819958354201453
171,7.819075097744095
172,10.42902076428329
173,5.2117680353752665
174,7.818918509508387
175,10.426861623447872
176,7.819160851102382
177,7.818480468592435
178,10.427841922963626
179,7.817698640953234
180,10.425641634916635
181,12.51134567108977
182,9.382833073640034
183,9.38210163415062
184,9.38277714916348
185,12.513710959939322
186,9.382749187175193
187,9.383001969606045
188,6.252946364706883
189,3.127964695749903
190,6.25549124542942
191,9.38613715600584
192,9.382233597981436
193,9.382833073640034
194,9.383603221481087
195,9.383312373743415
196,9.38089176598043
197,12.515976388761713
198,9.37904402077076
199,13.033329185142266
200,9.382420366696936
201,9.38349974473895
202,9.382233597981436
203,12.513334960215719
204,12.508331242931941
205,12.511545541073916
206,15.63869735234114
207,12.510520156390553
208,12.511245738492347
209,9.38307747142497
210,9.381182463675481
211,15.642764477426937
212,9.382937094939619
213,9.382449445129987
214,12.511458283616351
215,15.637570456069357
216,12.509981803508671
217,13.030539840286986
218,12.51327304179323
219,9.38077884596508
220,9.385564677120914
221,12.51008171591587
222,9.38161407117596
223,9.38287110266489
224,9.382815177735004
225,12.513710959939322
226,15.639166241231578
227,9.380423333373061
228,9.384025542118861
229,9.383584203962709
230,9.38404400203369
231,9.38137030869116
232,12.513760945731148
233,9.3813132835162
234,9.38208262271821
235,12.5132603597823
236,9.38265523611531
237,9.381163455968009
238,12.512959729050776
239,9.383659155805438
240,6.254158912762587
241,9.385517673159507
242,9.382467339639915
243,12.51142099447577
244,12.512146681077533
245,9.381201471459976
246,12.50973128389344
247,9.382430432287979
248,3.1261576551698007
249,3.1291224701442775
250,3.126260837098638
251,6.256723804277912
252,6.257199802660138
253,6.25429681678048
254,12.51396089289186
255,6.2538525639767215
256,3.126810758918548
257,6.25811992329791
258,3.1261263666888803
259,6.25728113251171
260,9.385677152796879
261,6.255040857957935
262,3.12715772646251
263,6.25674282790219
264,6.255341357630022
265,9.38367817362762
266,9.382486352631505
267,6.253114766741106
268,3.1276207182104354
269,6.256536185317545
270,6.25589172717112
271,6.25513480760671
272,6.255334646404029
273,9.3863817259484
274,6.2536028858277914
275,9.38368768256762
276,9.384710285756189
277,6.253759398156662
278,3.1264325737495016
279,9.38838185726699
280,6.25314606369386
281,12.512433846503452
282,16.162443870445745
283,6.254065737814803
284,9.382636222439254
285,9.38381913165393
286,9.38316192304726
287,9.385020243424279
288,6.25312147320461
289,12.514799546852217
290,9.3818108794884
291,9.382430432287979
292,6.253383781728106
293,6.259484931419
294,6.253477681605094
295,9.38349974473895
296,6.253802626751986
297,3.1279990044341437
298,3.127310923531735
299,6.256379906940787
