Date,Time,RTT
20240413,18:04:21,434.0
20240413,18:04:22,417.0
20240413,18:04:22,390.0
20240413,18:04:23,370.0
20240413,18:04:23,275.0
20240413,18:04:24,410.0
20240413,18:04:24,393.0
20240413,18:04:25,447.0
20240413,18:04:25,429.0
20240413,18:04:26,405.0
20240413,18:04:26,385.0
20240413,18:04:27,273.0
20240413,18:04:27,506.0
20240413,18:04:28,479.0
20240413,18:04:28,458.0
20240413,18:04:29,437.0
20240413,18:04:29,418.0
20240413,18:04:30,397.0
20240413,18:04:30,292.0
20240413,18:04:31,279.0
20240413,18:55:12,300.0
20240413,18:55:13,447.0
20240413,18:55:13,427.0
20240413,18:55:14,407.0
20240413,18:55:14,380.0
20240413,18:55:15,364.0
20240413,18:55:15,347.0
20240413,18:55:16,316.0
20240413,18:55:16,302.0
20240413,18:55:17,442.0
20240413,18:55:17,262.0
20240413,18:55:18,401.0
20240413,18:55:18,382.0
20240413,18:55:19,353.0
20240413,18:55:19,334.0
20240413,18:55:20,311.0
20240413,18:55:20,290.0
20240413,18:55:21,432.0
20240413,18:55:21,412.0
20240413,18:55:22,395.0
20240413,19:54:40,420.0
20240413,19:54:41,397.0
20240413,19:54:41,379.0
20240413,19:54:42,351.0
20240413,19:54:42,336.0
20240413,19:54:43,309.0
20240413,19:54:43,293.0
20240413,19:54:44,429.0
20240413,19:54:44,407.0
20240413,19:54:45,388.0
20240413,19:54:45,366.0
20240413,19:54:46,340.0
20240413,19:54:46,322.0
20240413,19:54:47,299.0
20240413,19:54:47,287.0
20240413,19:54:48,419.0
20240413,19:54:48,398.0
20240413,19:54:49,378.0
20240413,19:54:49,357.0
20240413,19:54:50,335.0
20240413,18:12:40,406.0
20240413,18:12:41,389.0
20240413,18:12:41,366.0
20240413,18:12:42,345.0
20240413,18:12:42,322.0
20240413,18:12:43,302.0
20240413,18:12:43,441.0
20240413,18:12:44,421.0
20240413,18:12:44,282.0
20240413,18:12:45,380.0
20240413,18:12:45,356.0
20240413,18:12:46,336.0
20240413,18:12:46,313.0
20240413,18:12:47,299.0
20240413,18:12:47,434.0
20240413,18:12:48,414.0
20240413,18:12:48,393.0
20240413,18:12:49,374.0
20240413,18:12:49,350.0
20240413,18:12:50,331.0
20240413,18:25:06,442.0
20240413,18:25:07,421.0
20240413,18:25:07,401.0
20240413,18:25:08,380.0
20240413,18:25:08,520.0
20240413,18:25:09,478.0
20240413,18:25:09,453.0
20240413,18:25:10,436.0
20240413,18:25:10,414.0
20240413,18:25:11,395.0
20240413,18:25:11,530.0
20240413,18:25:12,509.0
20240413,18:25:12,494.0
20240413,18:25:13,480.0
20240413,18:25:13,462.0
20240413,18:25:14,601.0
20240413,18:25:14,583.0
20240413,18:25:15,596.0
20240413,18:25:15,580.0
20240413,19:25:53,379.0
20240413,19:25:54,359.0
20240413,19:25:54,341.0
20240413,19:25:55,281.0
20240413,19:25:55,381.0
20240413,19:25:56,361.0
20240413,19:25:56,376.0
20240413,19:25:57,289.0
20240413,19:25:57,305.0
20240413,19:25:58,548.0
20240413,19:25:58,423.0
20240413,19:25:59,287.0
20240413,19:25:59,379.0
20240413,19:26:00,520.0
20240413,19:26:00,324.0
20240413,19:26:01,468.0
20240413,19:26:01,541.0
20240413,19:26:02,421.0
20240413,19:26:02,563.0
20240413,19:26:03,356.0
20240413,19:17:16,450.0
20240413,19:17:17,553.0
20240413,19:17:17,396.0
20240413,19:17:18,533.0
20240413,19:17:18,332.0
20240413,19:17:19,318.0
20240413,19:17:19,339.0
20240413,19:17:20,430.0
20240413,19:17:20,569.0
20240413,19:17:21,334.0
20240413,19:17:21,324.0
20240413,19:17:22,322.0
20240413,19:17:22,463.0
20240413,19:17:23,584.0
20240413,19:17:23,397.0
20240413,19:17:24,533.0
20240413,19:17:24,332.0
20240413,19:17:25,310.0
20240413,19:17:25,451.0
20240413,19:17:26,432.0
20240413,18:37:49,390.0
20240413,18:37:50,355.0
20240413,18:37:50,333.0
20240413,18:37:51,318.0
20240413,18:37:51,294.0
20240413,18:37:52,389.0
20240413,18:37:52,290.0
20240413,18:37:53,349.0
20240413,18:37:53,331.0
20240413,18:37:54,312.0
20240413,18:37:54,282.0
20240413,18:37:55,423.0
20240413,18:37:55,409.0
20240413,18:37:56,380.0
20240413,18:37:56,359.0
20240413,18:37:57,338.0
20240413,18:37:57,315.0
20240413,18:37:58,305.0
20240413,18:37:58,279.0
20240413,18:37:59,413.0
20240413,17:40:30,414.0
20240413,17:40:31,398.0
20240413,17:40:31,378.0
20240413,17:40:32,358.0
20240413,17:40:32,336.0
20240413,17:40:33,319.0
20240413,17:40:33,293.0
20240413,17:40:34,437.0
20240413,17:40:34,410.0
20240413,17:40:35,391.0
