Date,Time,RTT
20240413,18:20:57,45.9
20240413,18:20:58,38.8
20240413,18:20:58,36.2
20240413,18:20:59,45.9
20240413,18:20:59,35.6
20240413,18:21:00,35.9
20240413,18:21:00,44.0
20240413,18:21:01,43.8
20240413,18:21:01,41.3
20240413,18:21:02,40.2
20240413,18:21:02,37.6
20240413,18:21:03,48.0
20240413,18:21:03,35.2
20240413,18:21:04,34.5
20240413,18:21:04,33.0
20240413,18:21:05,44.0
20240413,18:21:05,40.6
20240413,18:21:06,39.9
20240413,18:21:06,39.1
20240413,18:21:07,47.4
20240412,19:03:55,32.8
20240412,19:03:56,32.2
20240412,19:03:56,30.0
20240412,19:03:57,29.7
20240412,19:03:57,38.1
20240412,19:03:58,35.7
20240412,19:03:58,52.9
20240412,19:03:59,33.3
20240412,19:03:59,43.2
20240412,19:04:00,39.6
20240412,19:04:00,38.7
20240412,19:04:01,35.1
20240412,19:04:01,37.9
20240412,19:04:02,49.8
20240412,19:04:02,30.6
20240412,19:04:03,29.7
20240412,19:04:03,48.2
20240412,19:04:04,35.1
20240412,19:04:04,32.9
20240412,19:04:05,38.4
20240412,20:29:48,172.0
20240412,20:29:49,62.5
20240412,20:29:49,37.2
20240412,20:29:50,45.0
20240412,20:29:50,78.4
20240412,20:29:51,51.3
20240412,20:29:51,58.2
20240412,20:29:52,44.8
20240412,20:29:52,74.3
20240412,20:29:53,42.9
20240412,20:29:53,52.1
20240412,20:29:54,39.9
20240412,20:29:54,57.4
20240412,20:29:55,48.0
20240412,20:29:55,46.3
20240412,20:29:56,43.4
20240412,20:29:56,65.7
20240412,20:29:57,45.6
20240412,20:29:57,52.8
20240412,20:29:58,40.6
20240413,19:25:57,48.2
20240413,19:25:58,46.1
20240413,19:25:58,45.5
20240413,19:25:59,46.5
20240413,19:25:59,43.4
20240413,19:26:00,42.6
20240413,19:26:00,40.8
20240413,19:26:01,65.4
20240413,19:26:01,39.4
20240413,19:26:02,50.3
20240413,19:26:02,48.0
20240413,19:26:03,45.8
20240413,19:26:03,46.4
20240413,19:26:04,42.8
20240413,19:26:04,41.4
20240413,19:26:05,41.6
20240413,19:26:05,59.4
20240413,19:26:06,47.3
20240413,19:26:06,45.5
20240413,19:26:07,39.1
20240412,19:32:30,36.3
20240412,19:32:31,31.1
20240412,19:32:31,29.8
20240412,19:32:32,33.2
20240412,19:32:32,39.3
20240412,19:32:33,34.7
20240412,19:32:33,27.7
20240412,19:32:34,41.5
20240412,19:32:34,26.6
20240412,19:32:35,41.4
20240412,19:32:35,24.1
20240412,19:32:36,34.8
20240412,19:32:36,32.5
20240412,19:32:37,32.3
20240412,19:32:37,29.6
20240412,19:32:38,28.5
20240412,19:32:38,33.4
20240412,19:32:39,43.7
20240412,19:32:39,26.5
20240412,19:32:40,27.3
20240413,19:12:33,1410.0
20240413,19:12:34,1475.0
20240413,19:12:34,967.0
20240413,19:12:35,508.0
20240413,19:12:35,274.0
20240413,19:12:36,58.5
20240413,19:12:36,98.0
20240413,19:12:37,1718.0
20240413,19:12:37,1218.0
20240413,19:12:38,708.0
20240413,19:12:38,1162.0
20240413,19:12:39,660.0
20240413,19:12:39,155.0
20240413,19:12:40,76.7
20240413,19:12:40,80.0
20240413,19:12:41,71.7
20240413,19:12:41,80.6
20240413,19:12:42,86.5
20240412,20:06:24,62.4
20240412,20:06:25,36.1
20240412,20:06:25,64.8
20240412,20:06:26,83.2
20240412,20:06:26,97.1
20240412,20:06:27,109.0
20240412,20:06:27,69.0
20240412,20:06:28,48.4
20240412,20:06:28,79.4
20240412,20:06:29,114.0
20240412,20:06:29,44.6
20240412,20:06:30,42.7
20240412,20:06:30,43.0
20240412,20:06:31,42.5
20240412,20:06:31,42.0
20240412,20:06:32,61.4
20240412,20:06:32,119.0
20240412,20:06:33,123.0
20240412,20:06:33,117.0
20240412,20:06:34,117.0
20240413,18:12:43,39.7
20240413,18:12:44,127.0
20240413,18:12:44,106.0
20240413,18:12:45,94.7
20240413,18:12:45,79.7
20240413,18:12:46,53.5
20240413,18:12:46,52.7
20240413,18:12:47,42.0
20240413,18:12:47,40.2
20240413,18:12:48,42.9
20240413,18:12:48,49.2
20240413,18:12:49,40.0
20240413,18:12:49,49.3
20240413,18:12:50,45.0
20240413,18:12:50,38.5
20240413,18:12:51,43.2
20240413,18:12:51,49.5
