Date,Time,RTT
20240413,17:59:14,55.3
20240413,17:59:15,64.1
20240413,17:59:15,41.9
20240413,17:59:16,54.3
20240413,17:59:16,67.7
20240413,17:59:17,60.8
20240413,17:59:17,48.2
20240413,17:59:18,48.0
20240413,17:59:18,54.2
20240413,17:59:19,53.5
20240413,17:59:19,62.5
20240413,17:59:20,52.9
20240413,17:59:20,50.6
20240413,17:59:21,63.8
20240413,17:59:21,62.4
20240413,17:59:22,47.9
20240413,17:59:22,64.7
20240413,17:59:23,53.6
20240413,17:59:23,61.1
20240413,17:59:24,45.8
20240413,19:49:48,28.2
20240413,19:49:49,18.7
20240413,19:49:49,17.7
20240413,19:49:50,21.8
20240413,19:49:50,20.9
20240413,19:49:51,19.8
20240413,19:49:51,19.0
20240413,19:49:52,17.7
20240413,19:49:52,17.1
20240413,19:49:53,116.0
20240413,19:49:53,15.0
20240413,19:49:54,17.9
20240413,19:49:54,18.0
20240413,19:49:55,19.4
20240413,19:49:55,18.0
20240413,19:49:56,16.8
20240413,19:49:56,24.9
20240413,19:49:57,19.8
20240413,19:49:57,23.0
20240413,19:49:58,21.1
20240413,18:54:20,40.4
20240413,18:54:21,23.1
20240413,18:54:21,26.0
20240413,18:54:22,63.9
20240413,18:54:22,22.7
20240413,18:54:23,25.7
20240413,18:54:23,27.3
20240413,18:54:24,25.4
20240413,18:54:24,20.5
20240413,18:54:25,33.8
20240413,18:54:25,26.0
20240413,18:54:26,27.2
20240413,18:54:26,21.1
20240413,18:54:27,25.1
20240413,18:54:27,21.7
20240413,18:54:28,28.8
20240413,18:54:28,20.2
20240413,18:54:29,26.7
20240413,18:54:29,25.4
20240413,18:54:30,27.1
20240413,19:37:21,206.0
20240413,19:37:22,35.5
20240413,19:37:22,47.5
20240413,19:37:23,35.1
20240413,19:37:23,49.5
20240413,19:37:24,69.6
20240413,19:37:24,43.2
20240413,19:37:25,37.2
20240413,19:37:25,39.3
20240413,19:37:26,39.1
20240413,19:37:26,37.9
20240413,19:37:27,36.4
20240413,19:37:27,53.4
20240413,19:37:28,49.8
20240413,19:37:28,45.1
20240413,19:37:29,47.4
20240413,19:37:29,53.8
20240413,19:37:30,43.9
20240413,19:37:30,38.4
20240413,19:37:31,40.4
20240413,19:25:00,43.6
20240413,19:25:01,80.2
20240413,19:25:01,102.0
20240413,19:25:02,53.9
20240413,19:25:02,80.7
20240413,19:25:03,72.5
20240413,19:25:03,53.7
20240413,19:25:04,110.0
20240413,19:25:04,86.9
20240413,19:25:05,62.8
20240413,19:25:05,81.9
20240413,19:25:06,58.7
20240413,19:25:06,64.8
20240413,19:25:07,58.8
20240413,19:25:07,57.7
20240413,19:25:08,59.3
20240413,19:25:08,57.0
20240413,19:25:09,70.8
20240413,19:25:09,66.2
20240413,19:25:10,62.2
20240413,19:45:34,44.0
20240413,19:45:35,24.2
20240413,19:45:35,17.6
20240413,19:45:36,28.2
20240413,19:45:36,16.7
20240413,19:45:37,26.4
20240413,19:45:37,18.1
20240413,19:45:38,23.9
20240413,19:45:38,18.8
20240413,19:45:39,25.7
20240413,19:45:39,32.9
20240413,19:45:40,23.2
20240413,19:45:40,16.7
20240413,19:45:41,29.4
